"ItemNo","State","Name","ShortName","Cost","EcPtsPer25","EF","HC","LR","RG","SimMP","MP","Formation","Allow_Co","Allow_Li","Allow_Sk","Allow_Sq","IsColonial","TroopSpecification","IsCavalry"
"39","S","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","T","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"39","W","Colonial Cavalry","Cc","120","2","4","4","0","0","20","40","Co,Li","True","False","False","False","False","Lc,Lr","True"
"41","A","Light Artillery","La","180","12","7","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","B","Light Artillery","La","180","12","7","1","5","12","6","32","Co","True","False","False","False","False","","False"
"41","D","Light Artillery","La","200","12","7","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","E","Light Artillery","La","200","12","6","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","F","Light Artillery","La","180","12","7","1","5","12","6","32","Co","True","False","False","False","False","","False"
"41","G","Light Artillery","La","200","12","7","1","5","12","6","26","Co","True","False","False","False","False","","False"
"41","H","Light Artillery","La","180","12","7","1","5","12","6","32","Co","True","False","False","False","False","","False"
"41","I","Light Artillery","La","180","12","7","1","5","12","6","32","Co","True","False","False","False","False","","False"
"41","K","Light Artillery","La","200","12","7","1","5","12","6","26","Co","True","False","False","False","False","","False"
"41","M","Light Artillery","La","200","12","7","1","5","12","6","26","Co","True","False","False","False","False","","False"
"41","N","Light Artillery","La","200","12","7","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","P","Light Artillery","La","200","12","7","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","R","Light Artillery","La","200","12","7","1","5","12","6","24","Co","True","False","False","False","False","","False"
"41","S","Light Artillery","La","200","12","7","1","5","12","6","28","Co","True","False","False","False","False","","False"
"41","T","Light Artillery","La","230","12","7","1","5","12","6","24","Co","True","False","False","False","False","","False"
"41","W","Light Artillery","La","200","12","7","1","5","12","6","32","Co","True","False","False","False","False","","False"
"43","A","Heavy Artillery","Ha","300","20","7","1","6","15","4","24","Co","True","False","False","False","False","","False"
"43","B","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","D","Heavy Artillery","Ha","350","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","E","Heavy Artillery","Ha","330","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","F","Heavy Artillery","Ha","300","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","G","Heavy Artillery","Ha","310","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","H","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","I","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","K","Heavy Artillery","Ha","330","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","M","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","N","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","P","Heavy Artillery","Ha","350","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","R","Heavy Artillery","Ha","300","20","8","1","6","15","4","24","Co","True","False","False","False","False","","False"
"43","S","Heavy Artillery","Ha","320","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"43","T","Heavy Artillery","Ha","360","20","7","1","6","15","4","24","Co","True","False","False","False","False","","False"
"43","W","Heavy Artillery","Ha","300","20","7","1","5","15","4","24","Co","True","False","False","False","False","","False"
"45","A","Mounted Artillery","Ma","220","15","7","1","5","10","12","40","Co","True","False","False","False","False","","True"
"45","B","Mounted Artillery","Ma","230","16","8","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","D","Mounted Artillery","Ma","220","16","7","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","E","Mounted Artillery","Ma","250","16","7","1","6","10","12","36","Co","True","False","False","False","False","","True"
"45","F","Mounted Artillery","Ma","200","16","8","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","G","Mounted Artillery","Ma","250","16","8","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","H","Mounted Artillery","Ma","230","16","8","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","I","Mounted Artillery","Ma","230","16","8","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","K","Mounted Artillery","Ma","250","16","7","1","6","10","12","40","Co","True","False","False","False","False","","True"
"45","M","Mounted Artillery","Ma","250","15","7","1","5","10","12","40","Co","True","False","False","False","False","","True"
"45","N","Mounted Artillery","Ma","250","16","7","1","6","10","12","36","Co","True","False","False","False","False","","True"
"45","P","Mounted Artillery","Ma","280","16","7","1","6","10","12","36","Co","True","False","False","False","False","","True"
"45","R","Mounted Artillery","Ma","250","15","7","1","5","10","12","36","Co","True","False","False","False","False","","True"
"45","S","Mounted Artillery","Ma","250","16","7","1","6","10","12","36","Co","True","False","False","False","False","","True"
"45","T","Mounted Artillery","Ma","280","15","7","1","5","10","12","36","Co","True","False","False","False","False","","True"
"45","W","Mounted Artillery","Ma","250","15","7","1","5","10","12","40","Co","True","False","False","False","False","","True"
